,tmpf,dwpf,relh,drct,sknt,alti,vsby,skyl1,feel,skyc1_BKN,skyc1_FEW,skyc1_NSC,skyc1_OVC,skyc1_SCT,skyc1_VV ,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,dayofweek_flag_Fri,dayofweek_flag_Mon,dayofweek_flag_Sat,dayofweek_flag_Sun,dayofweek_flag_Thurs,dayofweek_flag_Tues,dayofweek_flag_Wed,season_flag_autumn,season_flag_spring,season_flag_summer,season_flag_winter,fr_code_IFR,fr_code_LIFR,fr_code_MVFR,fr_code_VFR
13784,62.6,60.8,93.83,50.0,4.0,30.09,1.86,500.0,62.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
22214,75.2,53.6,46.98,40.0,5.0,30.24,6.21,3000.0,75.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
3277,64.4,60.8,88.09,120.0,5.0,30.06,3.73,1000.0,64.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
38789,68.0,46.4,45.88,150.0,14.0,30.12,6.21,4000.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
34875,82.4,66.2,58.08,210.0,2.0,30.06,4.97,2500.0,84.63,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4585,64.4,59.0,82.62,140.0,8.0,30.27,6.21,3000.0,64.4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
20380,66.2,62.6,88.18,0.0,0.0,30.03,4.97,1700.0,66.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1983,80.6,62.6,54.3,250.0,5.0,30.03,6.21,3000.0,81.84,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32051,64.4,55.4,72.56,160.0,8.0,30.21,6.21,2500.0,64.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
7665,73.4,64.4,73.44,150.0,9.0,29.94,6.21,3000.0,73.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
39626,84.2,48.2,28.63,0.0,6.0,29.88,6.21,4000.0,82.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
34671,86.0,55.4,35.25,180.0,5.0,29.94,6.21,3500.0,84.54,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
23164,64.4,53.6,67.95,80.0,2.0,30.03,6.21,3000.0,64.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2383,69.8,66.2,88.34,70.0,3.0,30.0,3.11,800.0,69.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2061,73.4,62.6,68.94,160.0,12.0,30.06,6.21,2500.0,73.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
5935,87.8,44.6,22.27,40.0,2.0,30.03,6.21,3000.0,84.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
35303,69.8,59.0,68.55,360.0,2.0,30.15,6.21,1500.0,69.8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
38189,86.0,41.0,20.54,320.0,7.0,29.94,6.21,3000.0,82.86,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27446,86.0,68.0,55.04,70.0,3.0,29.94,6.21,2500.0,89.41,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
4825,57.2,53.6,87.74,110.0,4.0,30.3,6.21,3000.0,57.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
13920,62.6,59.0,88.0,50.0,6.0,30.03,6.21,2000.0,62.6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
9321,71.6,69.8,94.06,200.0,3.0,29.91,6.21,1300.0,72.88,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24672,71.6,62.6,73.27,120.0,7.0,30.12,6.21,3000.0,71.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
30225,77.0,55.4,47.25,40.0,3.0,30.12,6.21,3000.0,77.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22016,50.0,50.0,100.0,0.0,0.0,30.09,4.35,3000.0,50.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
10879,68.0,66.2,93.97,190.0,2.0,29.91,4.97,2000.0,68.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1923,66.2,60.8,82.74,140.0,7.0,30.18,6.21,2500.0,66.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
31957,62.6,53.6,72.38,130.0,6.0,30.15,6.21,4000.0,62.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
22960,68.0,51.8,56.13,110.0,5.0,30.24,6.21,3000.0,68.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
11377,64.4,62.6,93.88,120.0,2.0,30.18,6.21,2000.0,64.4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
39933,62.6,57.2,82.5,140.0,7.0,30.12,6.21,2300.0,62.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
